"storage_C:\_%";"storage_C:\_GB";"cpu_Intel(R)-Xeon(R)-CPU-E5-2690-v3-@-2.60GHz_%";"storage_G:\_%";"storage_G:\_GB";"storage_D:\_%";"storage_D:\_GB";"ram_DDR4_%";"ram_DDR4_GB";"storage_E:\_GB";"storage_E:\_%";"storage_H:\_%";"storage_H:\_GB";"quantity_connections";"download";"upload";"timestamp"
63.9;446.5;9.5;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.83;1032.79;"2025-04-24 00:55:35"
63.9;446.5;12.2;79.1;57.63;16.3;931.51;39.2;47.9;1024;88.4;85.3;0.03;0;2021.88;1032.86;"2025-04-24 00:55:36"
63.9;446.5;14.6;79.1;57.63;16.3;931.51;39.2;47.9;1024;88.4;85.3;0.03;0;2021.95;1033.04;"2025-04-24 00:55:37"
63.9;446.5;7;79.1;57.63;16.3;931.51;39.2;47.9;1024;88.4;85.3;0.03;0;2021.95;1033.09;"2025-04-24 00:55:38"
63.9;446.5;10.4;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.96;1033.13;"2025-04-24 00:55:39"
63.9;446.5;3.7;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.97;1033.14;"2025-04-24 00:55:40"
63.9;446.5;3.4;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.97;1033.14;"2025-04-24 00:55:42"
63.9;446.5;2.2;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.98;1033.16;"2025-04-24 00:55:43"
63.9;446.5;4.9;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.98;1033.16;"2025-04-24 00:55:44"
63.9;446.5;8.9;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2021.98;1033.16;"2025-04-24 00:55:45"
63.9;446.5;2.9;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2022;1033.17;"2025-04-24 00:55:46"
63.9;446.5;2.3;79.1;57.63;16.3;931.51;39.1;47.9;1024;88.4;85.3;0.03;0;2022;1033.17;"2025-04-24 00:55:47"
