"storage_C:\_%";"storage_C:\_GB";"cpu_Intel(R)-Xeon(R)-CPU-E5-2690-v3-@-2.60GHz_%";"storage_G:\_%";"storage_G:\_GB";"storage_D:\_%";"storage_D:\_GB";"ram_DDR4_%";"ram_DDR4_GB";"storage_E:\_GB";"storage_E:\_%";"storage_H:\_%";"storage_H:\_GB";"quantity_connections";"download";"upload";"timestamp"
63.9;446.4957084655762;8.6;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1539421081543;1031.6308126449585;"2025-04-24 00:54:55"
63.9;446.4957084655762;1.3;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1602773666382;1031.6338634490967;"2025-04-24 00:54:56"
63.9;446.4957084655762;0.9;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1609601974487;1031.6342334747314;"2025-04-24 00:54:57"
63.9;446.4957084655762;2.1;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1614427566528;1031.6344232559204;"2025-04-24 00:54:58"
63.9;446.4957084655762;1.3;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1619844436646;1031.634741783142;"2025-04-24 00:54:59"
63.9;446.4957084655762;2.4;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1623239517212;1031.6348390579224;"2025-04-24 00:55:00"
63.9;446.4957084655762;2.4;79.1;57.6339111328125;16.3;931.5107383728027;38.9;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1626634597778;1031.6349363327026;"2025-04-24 00:55:01"
63.9;446.4957084655762;6.1;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.172610282898;1031.6593446731567;"2025-04-24 00:55:02"
63.9;446.4957084655762;6.0;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1840267181396;1031.6696977615356;"2025-04-24 00:55:03"
63.9;446.4957084655762;2.7;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.1960344314575;1031.7418689727783;"2025-04-24 00:55:04"
63.9;446.4957084655762;3.2;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2026844024658;1031.751392364502;"2025-04-24 00:55:05"
63.9;446.4957084655762;3.1;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.20823097229;1031.757152557373;"2025-04-24 00:55:06"
63.9;446.4957084655762;3.0;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2138175964355;1031.7629823684692;"2025-04-24 00:55:07"
63.9;446.4957084655762;3.8;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2183542251587;1031.767292022705;"2025-04-24 00:55:08"
63.9;446.4957084655762;6.3;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.228115081787;1031.7771444320679;"2025-04-24 00:55:09"
63.9;446.4957084655762;2.8;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2316207885742;1031.7810316085815;"2025-04-24 00:55:10"
63.9;446.4957084655762;4.4;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2408113479614;1031.7900323867798;"2025-04-24 00:55:11"
63.9;446.4957084655762;4.3;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2506408691406;1031.7992963790894;"2025-04-24 00:55:12"
63.9;446.4957084655762;3.9;79.1;57.6339111328125;16.3;931.5107383728027;39.0;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2942142486572;1031.8200273513794;"2025-04-24 00:55:14"
63.9;446.4957084655762;15.0;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.2984371185303;1031.8223972320557;"2025-04-24 00:55:15"
63.9;446.4957084655762;9.7;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3232126235962;1031.8704433441162;"2025-04-24 00:55:16"
63.9;446.4957084655762;13.7;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.331971168518;1031.8797359466553;"2025-04-24 00:55:17"
63.9;446.4957084655762;46.2;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3403215408325;1031.888560295105;"2025-04-24 00:55:18"
63.9;446.4957084655762;4.1;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3475332260132;1031.8963775634766;"2025-04-24 00:55:19"
63.9;446.4957084655762;8.1;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3742847442627;1031.9195537567139;"2025-04-24 00:55:20"
63.9;446.4957084655762;3.5;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3868026733398;1031.9246883392334;"2025-04-24 00:55:21"
63.9;446.4957084655762;6.8;79.1;57.6339111328125;16.3;931.5107383728027;39.2;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.3916158676147;1031.9296607971191;"2025-04-24 00:55:22"
63.9;446.4957084655762;7.6;79.1;57.6339111328125;16.3;931.5107383728027;39.1;47.904605865478516;1023.9980430603027;88.4;85.3;0.03099203109741211;0;2021.4050998687744;1031.9571409225464;"2025-04-24 00:55:23"
